food_id,diet,intolerances,excluded_ingredients,food_type,meal_costs_perserving,servings,all_diets,calories,carbs,fat,protein
662222,vegan,seafood,beef,main course,2.8901,4,"[""dairy free"", ""lacto ovo vegetarian"", ""vegan""]",471.0,72g,15g,14g
1096073,ketogenic,seafood,mushrooms,main course,7.6837,8,"[""gluten free"", ""dairy free"", ""ketogenic""]",1056.0,5g,91g,47g
622598,ketogenic,gluten,onion,main course,2.3884,2,"[""gluten free"", ""primal"", ""ketogenic""]",598.0,8g,43g,41g
639836,gluten free,dairy,garlic,main course,3.9319,4,"[""gluten free"", ""dairy free"", ""paleolithic"", ""primal"", ""fodmap friendly"", ""whole 30"", ""pescatarian""]",379.0,8g,23g,38g
635964,vegetarian,none,mushrooms,main course,1.7150999999999998,1,"[""lacto ovo vegetarian""]",824.0,90g,30g,44g
1095743,vegan,tree nut,garlic,main course,5.960800000000001,4,"[""dairy free"", ""lacto ovo vegetarian"", ""vegan""]",630.0,75g,32g,15g
657651,vegetarian,dairy,garlic,main course,2.7389,1,"[""dairy free"", ""lacto ovo vegetarian"", ""vegan""]",971.0,108g,50g,31g
656972,vegetarian,none,beef,main course,1.8305,4,"[""lacto ovo vegetarian""]",382.0,58g,10g,15g
1095836,gluten free,none,garlic,main course,2.5993,4,"[""gluten free"", ""dairy free""]",407.0,45g,7g,38g
652834,ketogenic,none,onion,main course,1.4391,3,"[""gluten free"", ""dairy free"", ""whole 30"", ""ketogenic""]",314.0,4g,24g,20g
654663,ketogenic,none,mushrooms,main course,2.6418,2,"[""ketogenic""]",829.0,20g,63g,40g
715393,vegetarian,none,mushrooms,main course,3.1597000000000004,1,"[""gluten free"", ""lacto ovo vegetarian"", ""primal""]",303.0,33g,12g,19g
664147,none,gluten,none,main course,0.497,6,"[""gluten free"", ""dairy free"", ""lacto ovo vegetarian"", ""vegan""]",242.0,43g,1g,16g
641973,none,gluten,onion,main course,5.298500000000001,8,"[""gluten free"", ""dairy free"", ""paleolithic"", ""primal"", ""whole 30""]",495.0,1g,26g,59g
